example_id,machine_id,machine_type,plant_area,shift,temperature_c,vibration_mm_s,pressure_bar,rpm,noise_db,oil_quality_pct,hours_since_service,error_code,technician_note,sensor_summary,machine_report,system_prompt,user_prompt,assistant_response,recommended_action,severity
ollama-ex-04374,WLD-4374,robotic welder,line 1,night,118.2,12.1,12.1,1881,110.4,8.6,640,OVERHEAT-999,critical alarm is active and the operator reports visible shaking,critical unsafe condition,"Machine WLD-4374 is a robotic welder in the line 1 area on the night shift. Sensors report temperature 118.2 C, vibration 12.1 mm/s, pressure 12.1 bar, rpm 1881, noise 110.4 dB, oil quality 8.6 percent, and 640 hours since service. Error code: OVERHEAT-999. Operator note: critical alarm is active and the operator reports visible shaking. Summary: critical unsafe condition.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: WLD-4374
Machine type: robotic welder
Plant area: line 1
Shift: night
Temperature C: 118.2
Vibration mm/s: 12.1
Pressure bar: 12.1
RPM: 1881
Noise dB: 110.4
Oil quality percent: 8.6
Hours since service: 640
Error code: OVERHEAT-999
Technician note: critical alarm is active and the operator reports visible shaking
Sensor summary: critical unsafe condition","{""confidence"": 0.96, ""immediate_steps"": [""Stop the machine immediately using the approved shutdown procedure."", ""Keep personnel clear of the asset."", ""Escalate to maintenance and safety leadership.""], ""maintenance_plan"": ""Lock out the machine, inspect the drive, bearings, cooling path, and controls, then approve restart only after corrective action."", ""recommended_action"": ""emergency_shutdown"", ""root_cause_hypothesis"": ""The telemetry shows a high-risk failure mode that requires immediate shutdown."", ""safety_note"": ""Restart requires formal maintenance clearance and standard lockout/tagout controls."", ""severity"": ""critical""}",emergency_shutdown,critical
ollama-ex-00656,OVN-0656,thermal oven,quality lab,afternoon,60.2,1.3,7.0,1299,67.2,95.4,141,OK,operator confirms normal startup and steady throughput,normal production behavior,"Machine OVN-0656 is a thermal oven in the quality lab area on the afternoon shift. Sensors report temperature 60.2 C, vibration 1.3 mm/s, pressure 7.0 bar, rpm 1299, noise 67.2 dB, oil quality 95.4 percent, and 141 hours since service. Error code: OK. Operator note: operator confirms normal startup and steady throughput. Summary: normal production behavior.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: OVN-0656
Machine type: thermal oven
Plant area: quality lab
Shift: afternoon
Temperature C: 60.2
Vibration mm/s: 1.3
Pressure bar: 7.0
RPM: 1299
Noise dB: 67.2
Oil quality percent: 95.4
Hours since service: 141
Error code: OK
Technician note: operator confirms normal startup and steady throughput
Sensor summary: normal production behavior","{""confidence"": 0.93, ""immediate_steps"": [""Keep current load settings."", ""Confirm product quality at the normal sampling interval."", ""Escalate only if a new warning code appears.""], ""maintenance_plan"": ""No extra maintenance is required; keep the normal preventive maintenance schedule."", ""recommended_action"": ""normal_operation"", ""root_cause_hypothesis"": ""The machine appears to be operating inside the expected process window."", ""safety_note"": ""No immediate safety restriction is indicated by the telemetry."", ""severity"": ""low""}",normal_operation,low
ollama-ex-03630,MLD-3630,injection molder,fabrication,morning,77.5,6.5,7.5,1252,85.2,36.2,270,VIB-610,vibration increases at steady rpm even when load is unchanged,dry bearing signature,"Machine MLD-3630 is an injection molder in the fabrication area on the morning shift. Sensors report temperature 77.5 C, vibration 6.5 mm/s, pressure 7.5 bar, rpm 1252, noise 85.2 dB, oil quality 36.2 percent, and 270 hours since service. Error code: VIB-610. Operator note: vibration increases at steady rpm even when load is unchanged. Summary: dry bearing signature.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: MLD-3630
Machine type: injection molder
Plant area: fabrication
Shift: morning
Temperature C: 77.5
Vibration mm/s: 6.5
Pressure bar: 7.5
RPM: 1252
Noise dB: 85.2
Oil quality percent: 36.2
Hours since service: 270
Error code: VIB-610
Technician note: vibration increases at steady rpm even when load is unchanged
Sensor summary: dry bearing signature","{""confidence"": 0.84, ""immediate_steps"": [""Reduce speed if vibration continues rising."", ""Inspect bearing temperature with the approved procedure."", ""Prepare the correct lubricant for a controlled service stop.""], ""maintenance_plan"": ""Lubricate the bearings, inspect for wear, and trend vibration after restart."", ""recommended_action"": ""lubricate_bearings"", ""root_cause_hypothesis"": ""The readings match a dry or under-lubricated bearing signature."", ""safety_note"": ""Stop the machine if vibration enters the critical band or if bearing temperature rises further."", ""severity"": ""high""}",lubricate_bearings,high
ollama-ex-00322,PMP-0322,industrial pump,warehouse,night,54.1,1.9,5.5,1460,58.1,72.2,29,OK,operator confirms normal startup and steady throughput,stable operating pattern,"Machine PMP-0322 is an industrial pump in the warehouse area on the night shift. Sensors report temperature 54.1 C, vibration 1.9 mm/s, pressure 5.5 bar, rpm 1460, noise 58.1 dB, oil quality 72.2 percent, and 29 hours since service. Error code: OK. Operator note: operator confirms normal startup and steady throughput. Summary: stable operating pattern.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: PMP-0322
Machine type: industrial pump
Plant area: warehouse
Shift: night
Temperature C: 54.1
Vibration mm/s: 1.9
Pressure bar: 5.5
RPM: 1460
Noise dB: 58.1
Oil quality percent: 72.2
Hours since service: 29
Error code: OK
Technician note: operator confirms normal startup and steady throughput
Sensor summary: stable operating pattern","{""confidence"": 0.89, ""immediate_steps"": [""Keep current load settings."", ""Confirm product quality at the normal sampling interval."", ""Escalate only if a new warning code appears.""], ""maintenance_plan"": ""Continue standard monitoring and perform the next planned service on schedule."", ""recommended_action"": ""normal_operation"", ""root_cause_hypothesis"": ""The machine appears to be operating inside the expected process window."", ""safety_note"": ""No immediate safety restriction is indicated by the telemetry."", ""severity"": ""low""}",normal_operation,low
ollama-ex-03075,PRS-3075,hydraulic press,quality lab,afternoon,78.5,3.3,3.8,1429,70.4,48.5,345,PRESS-190,operator reports reduced flow after the last material changeover,restricted filter flow,"Machine PRS-3075 is a hydraulic press in the quality lab area on the afternoon shift. Sensors report temperature 78.5 C, vibration 3.3 mm/s, pressure 3.8 bar, rpm 1429, noise 70.4 dB, oil quality 48.5 percent, and 345 hours since service. Error code: PRESS-190. Operator note: operator reports reduced flow after the last material changeover. Summary: restricted filter flow.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: PRS-3075
Machine type: hydraulic press
Plant area: quality lab
Shift: afternoon
Temperature C: 78.5
Vibration mm/s: 3.3
Pressure bar: 3.8
RPM: 1429
Noise dB: 70.4
Oil quality percent: 48.5
Hours since service: 345
Error code: PRESS-190
Technician note: operator reports reduced flow after the last material changeover
Sensor summary: restricted filter flow","{""confidence"": 0.91, ""immediate_steps"": [""Check upstream flow and pressure readings."", ""Confirm the filter part number."", ""Replace the filter at the next safe stop.""], ""maintenance_plan"": ""Replace the filter, inspect the housing seal, and verify that pressure returns to the normal range."", ""recommended_action"": ""replace_filter"", ""root_cause_hypothesis"": ""The pressure drop is more consistent with filter restriction than a drive fault."", ""safety_note"": ""Do not bypass the filter interlock to keep production running."", ""severity"": ""medium""}",replace_filter,medium
ollama-ex-02579,CMP-2579,compressor,assembly,night,75.7,3.0,4.4,1272,66.6,46.6,514,FLOW-275,operator reports reduced flow after the last material changeover,pressure drop around intake,"Machine CMP-2579 is a compressor in the assembly area on the night shift. Sensors report temperature 75.7 C, vibration 3.0 mm/s, pressure 4.4 bar, rpm 1272, noise 66.6 dB, oil quality 46.6 percent, and 514 hours since service. Error code: FLOW-275. Operator note: operator reports reduced flow after the last material changeover. Summary: pressure drop around intake.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: CMP-2579
Machine type: compressor
Plant area: assembly
Shift: night
Temperature C: 75.7
Vibration mm/s: 3.0
Pressure bar: 4.4
RPM: 1272
Noise dB: 66.6
Oil quality percent: 46.6
Hours since service: 514
Error code: FLOW-275
Technician note: operator reports reduced flow after the last material changeover
Sensor summary: pressure drop around intake","{""confidence"": 0.84, ""immediate_steps"": [""Reduce throughput if product quality starts drifting."", ""Inspect the filter indicator and intake housing."", ""Prepare a replacement filter before the next batch.""], ""maintenance_plan"": ""Replace the filter, inspect the housing seal, and verify that pressure returns to the normal range."", ""recommended_action"": ""replace_filter"", ""root_cause_hypothesis"": ""Low pressure and flow warnings indicate a restricted or clogged filter."", ""safety_note"": ""Depressurize the system before opening the filter housing."", ""severity"": ""medium""}",replace_filter,medium
ollama-ex-03254,CNV-3254,conveyor drive,quality lab,afternoon,76.5,6.3,6.0,1444,92.5,24.3,359,BEARING-201,operator reports a dry squeal during startup and shutdown,dry bearing signature,"Machine CNV-3254 is a conveyor drive in the quality lab area on the afternoon shift. Sensors report temperature 76.5 C, vibration 6.3 mm/s, pressure 6.0 bar, rpm 1444, noise 92.5 dB, oil quality 24.3 percent, and 359 hours since service. Error code: BEARING-201. Operator note: operator reports a dry squeal during startup and shutdown. Summary: dry bearing signature.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: CNV-3254
Machine type: conveyor drive
Plant area: quality lab
Shift: afternoon
Temperature C: 76.5
Vibration mm/s: 6.3
Pressure bar: 6.0
RPM: 1444
Noise dB: 92.5
Oil quality percent: 24.3
Hours since service: 359
Error code: BEARING-201
Technician note: operator reports a dry squeal during startup and shutdown
Sensor summary: dry bearing signature","{""confidence"": 0.93, ""immediate_steps"": [""Reduce speed if vibration continues rising."", ""Inspect bearing temperature with the approved procedure."", ""Prepare the correct lubricant for a controlled service stop.""], ""maintenance_plan"": ""Lubricate the bearings, inspect for wear, and trend vibration after restart."", ""recommended_action"": ""lubricate_bearings"", ""root_cause_hypothesis"": ""The high vibration and low oil quality suggest bearing lubrication breakdown."", ""safety_note"": ""Follow lockout/tagout before servicing the bearing area."", ""severity"": ""high""}",lubricate_bearings,high
ollama-ex-01835,OVN-1835,thermal oven,assembly,morning,83.8,4.5,8.3,1882,83.4,62.8,204,WARN-390,elevated temperature appears during long continuous batches,stress pattern during peak operation,"Machine OVN-1835 is a thermal oven in the assembly area on the morning shift. Sensors report temperature 83.8 C, vibration 4.5 mm/s, pressure 8.3 bar, rpm 1882, noise 83.4 dB, oil quality 62.8 percent, and 204 hours since service. Error code: WARN-390. Operator note: elevated temperature appears during long continuous batches. Summary: stress pattern during peak operation.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: OVN-1835
Machine type: thermal oven
Plant area: assembly
Shift: morning
Temperature C: 83.8
Vibration mm/s: 4.5
Pressure bar: 8.3
RPM: 1882
Noise dB: 83.4
Oil quality percent: 62.8
Hours since service: 204
Error code: WARN-390
Technician note: elevated temperature appears during long continuous batches
Sensor summary: stress pattern during peak operation","{""confidence"": 0.84, ""immediate_steps"": [""Lower machine load by 20 percent."", ""Check cooling airflow and drive current."", ""Pause continuous batches if the warning repeats.""], ""maintenance_plan"": ""Review production settings, cooling performance, and lubrication before returning to peak throughput."", ""recommended_action"": ""reduce_load"", ""root_cause_hypothesis"": ""The fault pattern suggests excessive throughput rather than a single failed component."", ""safety_note"": ""Stop the machine if temperature or vibration crosses the critical shutdown threshold."", ""severity"": ""high""}",reduce_load,high
ollama-ex-03562,OVN-3562,thermal oven,assembly,afternoon,71.5,6.1,6.0,1575,83.4,22.4,315,VIB-610,oil quality is low and bearing temperature is above normal,high vibration with poor oil quality,"Machine OVN-3562 is a thermal oven in the assembly area on the afternoon shift. Sensors report temperature 71.5 C, vibration 6.1 mm/s, pressure 6.0 bar, rpm 1575, noise 83.4 dB, oil quality 22.4 percent, and 315 hours since service. Error code: VIB-610. Operator note: oil quality is low and bearing temperature is above normal. Summary: high vibration with poor oil quality.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: OVN-3562
Machine type: thermal oven
Plant area: assembly
Shift: afternoon
Temperature C: 71.5
Vibration mm/s: 6.1
Pressure bar: 6.0
RPM: 1575
Noise dB: 83.4
Oil quality percent: 22.4
Hours since service: 315
Error code: VIB-610
Technician note: oil quality is low and bearing temperature is above normal
Sensor summary: high vibration with poor oil quality","{""confidence"": 0.95, ""immediate_steps"": [""Reduce speed if vibration continues rising."", ""Inspect bearing temperature with the approved procedure."", ""Prepare the correct lubricant for a controlled service stop.""], ""maintenance_plan"": ""Service the bearing lubrication point and check whether the bearing needs replacement."", ""recommended_action"": ""lubricate_bearings"", ""root_cause_hypothesis"": ""The high vibration and low oil quality suggest bearing lubrication breakdown."", ""safety_note"": ""Follow lockout/tagout before servicing the bearing area."", ""severity"": ""high""}",lubricate_bearings,high
ollama-ex-01699,PMP-1699,industrial pump,warehouse,morning,93.0,4.8,6.9,1863,76.1,55.6,204,WARN-390,drive current is high while pressure and rpm remain above normal,stress pattern during peak operation,"Machine PMP-1699 is an industrial pump in the warehouse area on the morning shift. Sensors report temperature 93.0 C, vibration 4.8 mm/s, pressure 6.9 bar, rpm 1863, noise 76.1 dB, oil quality 55.6 percent, and 204 hours since service. Error code: WARN-390. Operator note: drive current is high while pressure and rpm remain above normal. Summary: stress pattern during peak operation.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: PMP-1699
Machine type: industrial pump
Plant area: warehouse
Shift: morning
Temperature C: 93.0
Vibration mm/s: 4.8
Pressure bar: 6.9
RPM: 1863
Noise dB: 76.1
Oil quality percent: 55.6
Hours since service: 204
Error code: WARN-390
Technician note: drive current is high while pressure and rpm remain above normal
Sensor summary: stress pattern during peak operation","{""confidence"": 0.78, ""immediate_steps"": [""Lower machine load by 20 percent."", ""Check cooling airflow and drive current."", ""Pause continuous batches if the warning repeats.""], ""maintenance_plan"": ""Review production settings, cooling performance, and lubrication before returning to peak throughput."", ""recommended_action"": ""reduce_load"", ""root_cause_hypothesis"": ""The fault pattern suggests excessive throughput rather than a single failed component."", ""safety_note"": ""Do not continue peak-load operation while the temperature trend is rising."", ""severity"": ""high""}",reduce_load,high
ollama-ex-04562,CMP-4562,compressor,fabrication,morning,106.4,10.7,11.0,1889,97.2,10.2,379,CRIT-900,critical alarm is active and the operator reports visible shaking,immediate stop required,"Machine CMP-4562 is a compressor in the fabrication area on the morning shift. Sensors report temperature 106.4 C, vibration 10.7 mm/s, pressure 11.0 bar, rpm 1889, noise 97.2 dB, oil quality 10.2 percent, and 379 hours since service. Error code: CRIT-900. Operator note: critical alarm is active and the operator reports visible shaking. Summary: immediate stop required.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: CMP-4562
Machine type: compressor
Plant area: fabrication
Shift: morning
Temperature C: 106.4
Vibration mm/s: 10.7
Pressure bar: 11.0
RPM: 1889
Noise dB: 97.2
Oil quality percent: 10.2
Hours since service: 379
Error code: CRIT-900
Technician note: critical alarm is active and the operator reports visible shaking
Sensor summary: immediate stop required","{""confidence"": 0.94, ""immediate_steps"": [""Stop the machine immediately using the approved shutdown procedure."", ""Keep personnel clear of the asset."", ""Escalate to maintenance and safety leadership.""], ""maintenance_plan"": ""Perform a full maintenance inspection and root-cause review before any restart is authorized."", ""recommended_action"": ""emergency_shutdown"", ""root_cause_hypothesis"": ""The telemetry shows a high-risk failure mode that requires immediate shutdown."", ""safety_note"": ""Restart requires formal maintenance clearance and standard lockout/tagout controls."", ""severity"": ""critical""}",emergency_shutdown,critical
ollama-ex-03475,CMP-3475,compressor,warehouse,afternoon,88.9,5.5,5.0,1564,83.4,36.5,547,LUBE-510,vibration increases at steady rpm even when load is unchanged,high vibration with poor oil quality,"Machine CMP-3475 is a compressor in the warehouse area on the afternoon shift. Sensors report temperature 88.9 C, vibration 5.5 mm/s, pressure 5.0 bar, rpm 1564, noise 83.4 dB, oil quality 36.5 percent, and 547 hours since service. Error code: LUBE-510. Operator note: vibration increases at steady rpm even when load is unchanged. Summary: high vibration with poor oil quality.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: CMP-3475
Machine type: compressor
Plant area: warehouse
Shift: afternoon
Temperature C: 88.9
Vibration mm/s: 5.5
Pressure bar: 5.0
RPM: 1564
Noise dB: 83.4
Oil quality percent: 36.5
Hours since service: 547
Error code: LUBE-510
Technician note: vibration increases at steady rpm even when load is unchanged
Sensor summary: high vibration with poor oil quality","{""confidence"": 0.83, ""immediate_steps"": [""Alert maintenance before the next long batch."", ""Avoid high-speed operation until lubrication is checked."", ""Listen for repeated squeal during startup and shutdown.""], ""maintenance_plan"": ""Lubricate the bearings, inspect for wear, and trend vibration after restart."", ""recommended_action"": ""lubricate_bearings"", ""root_cause_hypothesis"": ""The readings match a dry or under-lubricated bearing signature."", ""safety_note"": ""Stop the machine if vibration enters the critical band or if bearing temperature rises further."", ""severity"": ""high""}",lubricate_bearings,high
ollama-ex-03893,CNC-3893,CNC mill,line 1,afternoon,85.3,6.0,5.4,1056,82.4,34.1,467,VIB-610,operator reports a dry squeal during startup and shutdown,dry bearing signature,"Machine CNC-3893 is a CNC mill in the line 1 area on the afternoon shift. Sensors report temperature 85.3 C, vibration 6.0 mm/s, pressure 5.4 bar, rpm 1056, noise 82.4 dB, oil quality 34.1 percent, and 467 hours since service. Error code: VIB-610. Operator note: operator reports a dry squeal during startup and shutdown. Summary: dry bearing signature.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: CNC-3893
Machine type: CNC mill
Plant area: line 1
Shift: afternoon
Temperature C: 85.3
Vibration mm/s: 6.0
Pressure bar: 5.4
RPM: 1056
Noise dB: 82.4
Oil quality percent: 34.1
Hours since service: 467
Error code: VIB-610
Technician note: operator reports a dry squeal during startup and shutdown
Sensor summary: dry bearing signature","{""confidence"": 0.84, ""immediate_steps"": [""Reduce speed if vibration continues rising."", ""Inspect bearing temperature with the approved procedure."", ""Prepare the correct lubricant for a controlled service stop.""], ""maintenance_plan"": ""Lubricate the bearings, inspect for wear, and trend vibration after restart."", ""recommended_action"": ""lubricate_bearings"", ""root_cause_hypothesis"": ""The readings match a dry or under-lubricated bearing signature."", ""safety_note"": ""Stop the machine if vibration enters the critical band or if bearing temperature rises further."", ""severity"": ""high""}",lubricate_bearings,high
ollama-ex-01750,CMP-1750,compressor,warehouse,morning,86.3,5.1,8.5,1833,82.1,64.2,251,TEMP-410,elevated temperature appears during long continuous batches,temperature rising under load,"Machine CMP-1750 is a compressor in the warehouse area on the morning shift. Sensors report temperature 86.3 C, vibration 5.1 mm/s, pressure 8.5 bar, rpm 1833, noise 82.1 dB, oil quality 64.2 percent, and 251 hours since service. Error code: TEMP-410. Operator note: elevated temperature appears during long continuous batches. Summary: temperature rising under load.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: CMP-1750
Machine type: compressor
Plant area: warehouse
Shift: morning
Temperature C: 86.3
Vibration mm/s: 5.1
Pressure bar: 8.5
RPM: 1833
Noise dB: 82.1
Oil quality percent: 64.2
Hours since service: 251
Error code: TEMP-410
Technician note: elevated temperature appears during long continuous batches
Sensor summary: temperature rising under load","{""confidence"": 0.84, ""immediate_steps"": [""Reduce feed rate or duty cycle immediately."", ""Monitor temperature for the next 15 minutes."", ""Notify the shift lead if temperature does not trend down.""], ""maintenance_plan"": ""Inspect the cooling path and drive system after the machine stabilizes at a lower load."", ""recommended_action"": ""reduce_load"", ""root_cause_hypothesis"": ""The machine is likely being pushed beyond a safe continuous operating load."", ""safety_note"": ""Stop the machine if temperature or vibration crosses the critical shutdown threshold."", ""severity"": ""high""}",reduce_load,high
ollama-ex-03250,MLD-3250,injection molder,fabrication,afternoon,73.2,7.1,5.7,1432,94.8,33.1,282,BEARING-201,vibration increases at steady rpm even when load is unchanged,high vibration with poor oil quality,"Machine MLD-3250 is an injection molder in the fabrication area on the afternoon shift. Sensors report temperature 73.2 C, vibration 7.1 mm/s, pressure 5.7 bar, rpm 1432, noise 94.8 dB, oil quality 33.1 percent, and 282 hours since service. Error code: BEARING-201. Operator note: vibration increases at steady rpm even when load is unchanged. Summary: high vibration with poor oil quality.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: MLD-3250
Machine type: injection molder
Plant area: fabrication
Shift: afternoon
Temperature C: 73.2
Vibration mm/s: 7.1
Pressure bar: 5.7
RPM: 1432
Noise dB: 94.8
Oil quality percent: 33.1
Hours since service: 282
Error code: BEARING-201
Technician note: vibration increases at steady rpm even when load is unchanged
Sensor summary: high vibration with poor oil quality","{""confidence"": 0.88, ""immediate_steps"": [""Alert maintenance before the next long batch."", ""Avoid high-speed operation until lubrication is checked."", ""Listen for repeated squeal during startup and shutdown.""], ""maintenance_plan"": ""Service the bearing lubrication point and check whether the bearing needs replacement."", ""recommended_action"": ""lubricate_bearings"", ""root_cause_hypothesis"": ""The readings match a dry or under-lubricated bearing signature."", ""safety_note"": ""Follow lockout/tagout before servicing the bearing area."", ""severity"": ""high""}",lubricate_bearings,high
ollama-ex-03413,CNV-3413,conveyor drive,fabrication,night,74.5,6.9,5.9,1354,83.4,41.6,449,VIB-610,high-frequency vibration is strongest near the bearing housing,bearing lubrication needed,"Machine CNV-3413 is a conveyor drive in the fabrication area on the night shift. Sensors report temperature 74.5 C, vibration 6.9 mm/s, pressure 5.9 bar, rpm 1354, noise 83.4 dB, oil quality 41.6 percent, and 449 hours since service. Error code: VIB-610. Operator note: high-frequency vibration is strongest near the bearing housing. Summary: bearing lubrication needed.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: CNV-3413
Machine type: conveyor drive
Plant area: fabrication
Shift: night
Temperature C: 74.5
Vibration mm/s: 6.9
Pressure bar: 5.9
RPM: 1354
Noise dB: 83.4
Oil quality percent: 41.6
Hours since service: 449
Error code: VIB-610
Technician note: high-frequency vibration is strongest near the bearing housing
Sensor summary: bearing lubrication needed","{""confidence"": 0.86, ""immediate_steps"": [""Alert maintenance before the next long batch."", ""Avoid high-speed operation until lubrication is checked."", ""Listen for repeated squeal during startup and shutdown.""], ""maintenance_plan"": ""Service the bearing lubrication point and check whether the bearing needs replacement."", ""recommended_action"": ""lubricate_bearings"", ""root_cause_hypothesis"": ""Bearing friction is likely increasing temperature, noise, and vibration."", ""safety_note"": ""Stop the machine if vibration enters the critical band or if bearing temperature rises further."", ""severity"": ""high""}",lubricate_bearings,high
ollama-ex-01593,PMP-1593,industrial pump,line 2,night,74.2,3.9,4.7,1294,69.1,62.9,406,WARN-210,operator heard a light intermittent rattle near the guard panel,watch-list condition,"Machine PMP-1593 is an industrial pump in the line 2 area on the night shift. Sensors report temperature 74.2 C, vibration 3.9 mm/s, pressure 4.7 bar, rpm 1294, noise 69.1 dB, oil quality 62.9 percent, and 406 hours since service. Error code: WARN-210. Operator note: operator heard a light intermittent rattle near the guard panel. Summary: watch-list condition.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: PMP-1593
Machine type: industrial pump
Plant area: line 2
Shift: night
Temperature C: 74.2
Vibration mm/s: 3.9
Pressure bar: 4.7
RPM: 1294
Noise dB: 69.1
Oil quality percent: 62.9
Hours since service: 406
Error code: WARN-210
Technician note: operator heard a light intermittent rattle near the guard panel
Sensor summary: watch-list condition","{""confidence"": 0.76, ""immediate_steps"": [""Notify maintenance planning."", ""Ask the operator to log any repeated noise or quality drift."", ""Avoid increasing load until the inspection is complete.""], ""maintenance_plan"": ""Schedule inspection during the next planned downtime and check alignment, guards, belts, and sensor calibration."", ""recommended_action"": ""schedule_inspection"", ""root_cause_hypothesis"": ""The machine may need alignment, cleaning, or a minor adjustment during planned downtime."", ""safety_note"": ""Do not remove guards while the machine is energized."", ""severity"": ""medium""}",schedule_inspection,medium
